seq,tx,rx,latency
3228864,1764177707550855361,1764177707544213952,-6641409
441173,1764177707551893762,1764177707545253603,-6640159
3228865,1764177707551915132,1764177707545273714,-6641418
441174,1764177707552953348,1764177707546311847,-6641501
3228866,1764177707552975051,1764177707546334162,-6640889
441175,1764177707554012915,1764177707547371221,-6641694
3228867,1764177707554034878,1764177707547393109,-6641769
441176,1764177707555072482,1764177707548430890,-6641592
3228868,1764177707555094612,1764177707548453594,-6641018
441177,1764177707556133235,1764177707549491764,-6641471
3228869,1764177707556154660,1764177707549513171,-6641489
441178,1764177707557192728,1764177707550550989,-6641739
3228870,1764177707557214524,1764177707550573804,-6640720
441179,1764177707558252258,1764177707551610715,-6641543
3228871,1764177707558274406,1764177707551633974,-6640432
441180,1764177707559312677,1764177707552671348,-6641329
3228872,1764177707559334233,1764177707552692903,-6641330
441181,1764177707560374633,1764177707553734036,-6640597
3228873,1764177707560394337,1764177707553753017,-6641320
441182,1764177707561437552,1764177707554806261,-6631291
3228874,1764177707561455497,1764177707554808169,-6647328
441183,1764177707562498805,1764177707555857302,-6641503
3228875,1764177707562515434,1764177707555873653,-6641781
441184,1764177707563560131,1764177707556918694,-6641437
3228876,1764177707563575502,1764177707556933897,-6641605
441185,1764177707564619958,1764177707557979197,-6640761
3228877,1764177707564635569,1764177707557996364,-6639205
441186,1764177707565679673,1764177707559038219,-6641454
3228878,1764177707565696043,1764177707559054533,-6641510
441187,1764177707566739222,1764177707560097407,-6641815
3228879,1764177707566755926,1764177707560117388,-6638538
441188,1764177707567799919,1764177707561158910,-6641009
3228880,1764177707567815900,1764177707561174447,-6641453
441189,1764177707568859634,1764177707562217913,-6641721
3228881,1764177707568876060,1764177707562234432,-6641628
441190,1764177707569919164,1764177707563277916,-6641248
3228882,1764177707569935924,1764177707563294509,-6641415
441191,1764177707570978658,1764177707564336605,-6642053
3228883,1764177707570995880,1764177707564354605,-6641275
441192,1764177707572039484,1764177707565397997,-6641487
3228884,1764177707572056317,1764177707565414664,-6641653
441193,1764177707573099163,1764177707566462037,-6637126
3228885,1764177707573116366,1764177707566478315,-6638051
441194,1764177707574158878,1764177707567517892,-6640986
3228886,1764177707574176304,1764177707567534577,-6641727
441195,1764177707575219686,1764177707568578136,-6641550
3228887,1764177707575236519,1764177707568594692,-6641827
441196,1764177707576279531,1764177707569638084,-6641447
3228888,1764177707576296568,1764177707569655065,-6641503
441197,1764177707577339209,1764177707570697772,-6641437
3228889,1764177707577356820,1764177707570720383,-6636437
441198,1764177707578398851,1764177707571758257,-6640594
3228890,1764177707578416369,1764177707571775479,-6640890
441199,1764177707579459529,1764177707572818390,-6641139
3228891,1764177707579476473,1764177707572834556,-6641917
441200,1764177707580519115,1764177707573877708,-6641407
3228892,1764177707580536429,1764177707573895745,-6640684
441201,1764177707581578812,1764177707574937359,-6641453
3228893,1764177707581596293,1764177707574954544,-6641749
441202,1764177707582638083,1764177707575996436,-6641647
3228894,1764177707582656305,1764177707576014621,-6641684
441203,1764177707583698909,1764177707577057513,-6641396
3228895,1764177707583716409,1764177707577074625,-6641784
441204,1764177707584758662,1764177707578117054,-6641608
3228896,1764177707584776291,1764177707578135313,-6640978
441205,1764177707585818321,1764177707579176797,-6641524
3228897,1764177707585836118,1764177707579197001,-6639117
441206,1764177707586877944,1764177707580237060,-6640884
3228898,1764177707586896259,1764177707580254523,-6641736
441207,1764177707587938826,1764177707581297896,-6640930
3228899,1764177707587956326,1764177707581315026,-6641300
441208,1764177707588998505,1764177707582356677,-6641828
3228900,1764177707589016468,1764177707582374807,-6641661
441209,1764177707590058183,1764177707583417607,-6640576
3228901,1764177707590076350,1764177707583434921,-6641429
441210,1764177707591117750,1764177707584476054,-6641696
3228902,1764177707591136639,1764177707584494925,-6641714
441211,1764177707592178410,1764177707585537650,-6640760
3228903,1764177707592196873,1764177707585555724,-6641149
441212,1764177707593238255,1764177707586596820,-6641435
3228904,1764177707593257755,1764177707586616246,-6641509
441213,1764177707594297934,1764177707587656286,-6641648
3228905,1764177707594317767,1764177707587678416,-6639351
441214,1764177707595358445,1764177707588717159,-6641286
3228906,1764177707595377871,1764177707588736030,-6641841
441215,1764177707596418142,1764177707589776422,-6641720
3228907,1764177707596438253,1764177707589796552,-6641701
441216,1764177707597477654,1764177707590836295,-6641359
3228908,1764177707597498320,1764177707590856944,-6641376
441217,1764177707598537110,1764177707591895243,-6641867
3228909,1764177707598558110,1764177707591917169,-6640941
441218,1764177707599597640,1764177707592956524,-6641116
3228910,1764177707599618010,1764177707592976246,-6641764
441219,1764177707600657096,1764177707594015324,-6641772
3228911,1764177707600677967,1764177707594036398,-6641569
441220,1764177707601716534,1764177707595075567,-6640967
3228912,1764177707601737923,1764177707595096179,-6641744
441221,1764177707602775953,1764177707596134089,-6641864
3228913,1764177707602797823,1764177707596156423,-6641400
441222,1764177707603836539,1764177707597195426,-6641113
3228914,1764177707603857631,1764177707597216259,-6641372
